70.8262	24.8836	2.48713	0.51287	70.8275	24.8844	70.7385	24.8137	2.22347	0.265395	
70.7713	24.8636	2.26251	0.436004	70.7403	24.6728	70.7385	24.8137	2.22347	0.265395	
72.8954	24.7208	1.94948	-0.529613	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	
72.979	24.7505	2.25702	-0.424783	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	
75.0044	25.2486	1.90558	1.07249	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	
74.9812	25.2404	1.81064	1.04092	74.9748	25.1378	75.1062	25.1224	2.04114	0.0423626	
77.1192	24.9453	2.30697	-1.12617	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566979	
77.1122	24.9443	2.15984	-1.16981	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566979	
79.1096	25.022	1.96368	0.86539	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	
79.0743	25.0105	1.70359	0.788981	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	
80.8083	24.8799	1.68266	-0.717457	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	
80.8643	24.8966	1.77268	-0.689934	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	
82.6212	24.6342	1.77845	0.00960939	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	
82.5828	24.6233	1.58463	-0.0457958	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	
84.1733	24.5507	1.59348	-0.0892109	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	
84.1803	24.5519	1.59424	-0.0898888	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	
85.6408	23.8159	1.29095	-1.15805	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	
85.7245	23.8386	1.56324	-1.08685	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	
86.9494	23.5183	0.982587	0.140692	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	
87.0612	23.5477	1.14751	0.185346	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	
88.814	22.7973	2.22208	-1.29857	88.8227	22.7869	88.4904	22.9745	1.23247	-0.450514	
88.6875	22.7651	1.71409	-1.4235	88.4191	22.9498	88.4904	22.9745	1.23247	-0.450514	
89.5101	22.2979	0.0969885	0.07334	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	
89.6349	22.3296	0.625298	0.19968	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	
90.5102	21.6775	1.03893	-1.17241	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	
90.6023	21.7009	1.2656	-1.11645	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	
91.7196	21.1092	1.02066	-0.270956	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488963	
91.7761	21.1233	1.02608	-0.26552	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488963	
92.8589	20.9525	1.13968	-0.107397	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	
92.9084	20.9637	1.05022	-0.123538	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	
93.4755	20.2233	0.0951879	-1.15872	93.4668	20.2155	93.9011	20.513	0.92369	-0.495918	
93.6316	20.2582	0.8081	-1.00902	93.7423	20.5071	93.9011	20.513	0.92369	-0.495918	
95.3082	19.6528	2.47995	-0.29836	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	
95.0098	19.5908	1.23573	-0.544741	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	
